18:10:00      0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5 
18:40:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
18:49:59      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
19:00:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
19:10:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
19:19:59      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
19:30:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
19:40:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
19:49:59      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
20:00:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       300.000      60.0000 1      -360.000     -90.0000 1 
20:10:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       300.000      60.0000 1      -360.000     -90.0000 1 
20:18:19      220.000      60.0000 7       220.000      60.0000 7       220.000      60.0000 7       220.000      60.0000 7       220.000      60.0000 7       220.000      60.0000 7 
20:24:20      244.000      20.0000 7       244.000      20.0000 7       244.000      20.0000 7       244.000      20.0000 7       244.000      20.0000 7       244.000      20.0000 7 
20:30:20      260.000      60.0000 7       260.000      60.0000 7       260.000      60.0000 7       260.000      60.0000 7       260.000      60.0000 7       260.000      60.0000 7 
20:36:19      266.000      20.0000 7       266.000      20.0000 7       266.000      20.0000 7       266.000      20.0000 7       266.000      20.0000 7       266.000      20.0000 7 
20:42:19      300.000      60.0000 7       300.000      60.0000 7       300.000      60.0000 7       300.000      60.0000 7       300.000      60.0000 7       300.000      60.0000 7 
20:48:19      329.000      20.0000 7       329.000      20.0000 7       329.000      20.0000 7       329.000      20.0000 7       329.000      20.0000 7       329.000      20.0000 7 
21:00:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       300.000      60.0000 1      -360.000     -90.0000 1 
21:10:00      351.000      20.0000 1       329.000      20.0000 1       260.000      60.0000 1       266.000      20.0000 1       300.000      60.0000 1      -360.000     -90.0000 1 
