18:15:00      0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5 
18:40:00      100.000      60.0000 1       60.0000      60.0000 1       31.0000      20.0000 1       10.0000      20.0000 1       351.000      20.0000 1      -360.000     -90.0000 1 
18:49:59      100.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1       351.000      20.0000 1      -360.000     -90.0000 1 
19:00:00      100.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1       351.000      20.0000 1      -360.000     -90.0000 1 
19:10:00      100.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1       351.000      20.0000 1      -360.000     -90.0000 1 
19:19:59      100.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1       351.000      20.0000 1      -360.000     -90.0000 1 
19:30:00      100.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1       351.000      20.0000 1      -360.000     -90.0000 1 
19:40:00      100.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
19:49:59      100.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
20:00:00      140.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
20:10:00      140.000      60.0000 1       117.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
20:19:59      140.000      60.0000 1       138.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
20:30:00      140.000      60.0000 1       138.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
20:40:00      140.000      60.0000 1       138.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
20:49:59      140.000      60.0000 1       138.000      20.0000 1       31.0000      20.0000 1       10.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
21:00:00      140.000      60.0000 1       138.000      20.0000 1       31.0000      20.0000 1       20.0000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
21:10:00      140.000      60.0000 1       138.000      20.0000 1       31.0000      20.0000 1       20.0000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
21:19:59      140.000      60.0000 1       138.000      20.0000 1       31.0000      20.0000 1       20.0000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
21:30:00      140.000      60.0000 1       138.000      20.0000 1       31.0000      20.0000 1       20.0000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
21:40:00      140.000      60.0000 1       159.000      20.0000 1       31.0000      20.0000 1       20.0000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
21:49:59      140.000      60.0000 1       159.000      20.0000 1       31.0000      20.0000 1       20.0000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
22:00:00      140.000      60.0000 1       159.000      20.0000 1       31.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
22:10:00      140.000      60.0000 1       159.000      20.0000 1       31.0000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
22:19:59      140.000      60.0000 1       159.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
22:30:00      140.000      60.0000 1       159.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
22:40:00      180.000      60.0000 1       159.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
22:49:59      180.000      60.0000 1       159.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
23:00:00      180.000      60.0000 1       159.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
23:10:00      180.000      60.0000 1       180.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
23:19:59      180.000      60.0000 1       180.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
23:30:00      180.000      60.0000 1       180.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
23:40:00      180.000      60.0000 1       180.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
23:49:59      180.000      60.0000 1       180.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
24:00:00      180.000      60.0000 1       180.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
24:10:00      180.000      60.0000 1       180.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
24:19:59      180.000      60.0000 1       180.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
24:30:00      180.000      60.0000 1       180.000      20.0000 1       202.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
24:40:00      180.000      60.0000 1       180.000      20.0000 1       202.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
24:49:59      180.000      60.0000 1       180.000      20.0000 1       202.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
25:00:00      180.000      60.0000 1       180.000      20.0000 1       202.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
25:10:00      180.000      60.0000 1       180.000      20.0000 1       202.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
25:19:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
25:30:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
25:40:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
25:49:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
26:00:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
26:10:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
26:19:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
26:30:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
26:40:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
26:49:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
27:00:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
27:10:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1      -360.000     -90.0000 1      -360.000     -90.0000 1 
27:19:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
27:30:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
27:40:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
27:49:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       223.000      20.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
28:00:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
28:10:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
28:19:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
28:30:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
28:40:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
28:49:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
29:00:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
29:10:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
29:19:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
29:30:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
29:40:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
29:49:59      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
30:00:00      180.000      60.0000 1       180.000      20.0000 1       220.000      60.0000 1       260.000      60.0000 1       244.000      20.0000 1      -360.000     -90.0000 1 
30:20:00      0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5       0.00000      0.00000 5 
30:40:00     -360.000     -90.0000 3      -360.000     -90.0000 3      -360.000     -90.0000 3      -360.000     -90.0000 3      -360.000     -90.0000 3      -360.000     -90.0000 3 
