coor, coor_h1, coor_h2, coor_l1, coor_l2, time begin(lst), end(lst), time begin(BT), end(BT), Length hour monra bg, mondec bg, mondistance bg, ra end, dec end, distance end, moonphase, gal num, star num, fieldN num, fieldS num, field priority
 1020   35740     2340    35740     2340     300.9263      438.8076     18.5000      27.6921      9.19    133.7110    12.3435      115.8721    139.5525  10.8623      121.5476      0.34       74     189937      67713      122224          1
 2060   32280     7780    32280     7780     298.4146      466.3817     18.3333      29.5311      11.20    133.7110    12.3435      90.6465    139.5525  10.8623      94.5305      0.34       1     509876      276034      233842          2
 3120    1840     4440     1840     4440     322.2320      460.1134     19.9167      29.1088      9.19    133.7110    12.3435      97.4043    139.5525  10.8623      103.2484      0.34       137     181615      64876      116739          1
 5320    4040     6640     4040     6640     343.5378      466.3817     21.3333      29.5229      8.19    133.7110    12.3435      77.2153    136.6401  11.6174      80.1636      0.34       12     188124      66214      121910          1
 6060     280    11780      280    11780     317.2195      466.3817     19.5833      29.5275      9.94    133.7110    12.3435      71.2082    139.5525  10.8623      75.3896      0.34       1     389087      219705      169382          1
 7420    6140     8740     6140     8740     4.8545      106.3817     22.7500      29.5185      6.77    133.7110    12.3435      57.5813    136.6401  11.6174      60.5351      0.34       22     313588      129743      183845          1
10060    4280    15780     4280    15780     356.0744      466.3817     22.1667      29.5205      7.35    133.7110    12.3435      53.7407    136.6401  11.6174      55.4324      0.34       56     287273      158027      129246          1
14060    8280    19780     8280    19780     36.1852      106.3817     24.8333      29.5131      4.68    136.6401    11.6174      48.4471    139.5525  10.8623      49.1388      0.32       155     159708      71519      88189          1
15920   14640    17240    14640    17240     90.0884      106.3817     28.4167      29.5029      1.09    136.6401    11.6174      23.0577    136.6401  11.6174      23.0577      0.32       149     111318      59282      52036          1
18060   12280    23780    12280    23780     76.2959      106.3817     27.5000      29.5057      2.01    136.6401    11.6174      57.9623    136.6401  11.6174      57.9623      0.32       237     134247      55375      78872          1
22060   16280    27780    16280    27780     298.4146      323.4879     18.3333      20.0049      1.67    133.7110    12.3435      77.4820    133.7110  12.3435      77.4820      0.34       147     149040      61114      87926          1
24420   23140    25740    23140    25740     298.4146      313.4630     18.3333      19.3366      1.00    133.7110    12.3435      104.1935    133.7110  12.3435      104.1935      0.34       46     164924      89439      75485          1
26060   20280    31780    20280    31780     298.4146      363.5986     18.3333      22.6789      4.35    133.7110    12.3435      95.9671    136.6401  11.6174      95.4467      0.34       34     230604      111607      118997          1
26620   25240    27940    25240    27940     298.4146      334.7687     18.3333      20.7569      2.42    133.7110    12.3435      122.9946    133.7110  12.3435      122.9946      0.34       16     352252      202088      150164          1
30060   24280    35780    24280    35780     298.4146      403.7094     18.3333      25.3530      7.02    133.7110    12.3435      106.8215    136.6401  11.6174      107.1486      0.34       3     525736      363965      161771          2
32920   31640    34240    31640    34240     298.4146      398.6969     18.3333      25.0188      6.69    133.7110    12.3435      144.3279    136.6401  11.6174      146.1227      0.34       24     374833      130445      244388          1
34060   28280     3780    28280     3780     298.4146      443.8201     18.3333      28.0270      9.69    133.7110    12.3435      104.6428    139.5525  10.8623      107.2715      0.34       0     639611      424158      215453          2
35120   33840      440    33840      440     298.4146      420.0026     18.3333      26.4392      8.11    133.7110    12.3435      131.0877    136.6401  11.6174      133.7060      0.34       83     225145      79341      145804          1
